country_code,gender,age_group,average_income,average_expenses,sample_size
FR,male,31-45,2098.52,5765.42,2133
FR,male,60+,4899.31,6923.88,1096
FR,male,31-45,9732.28,2870.52,7591
US,male,46-60,11538.18,8555.79,4013
PL,male,18-30,6899.82,5945.08,6433
PL,female,46-60,2848.81,4523.27,5846
FR,female,31-45,7863.33,1934.23,5014
FR,male,31-45,9271.8,7536.83,4568
UK,female,31-45,4772.67,3383.48,5186
UK,male,60+,2908.92,3950.36,3192
US,male,18-30,8442.25,2407.51,2009
US,male,18-30,9648.07,3537.8,1794
DE,female,18-30,4057.75,6065.4,1870
UK,male,60+,11851.33,2771.3,2650
DE,female,18-30,4470.03,6474.79,5907
FR,female,18-30,3541.07,5030.4,5477
FR,male,18-30,7315.45,3449.5,5545
UK,female,18-30,7561.25,3705.96,5346
US,male,31-45,2294.17,1440.6,1568
US,female,46-60,10833.97,3480.2,9476
FR,female,31-45,5946.75,1083.63,9050
PL,female,18-30,9171.63,1916.17,5399
UK,female,31-45,7895.28,6201.92,9173
PL,female,60+,3496.52,3574.67,7101
PL,male,60+,7831.23,4327.8,7082
DE,male,31-45,8218.14,7518.74,2422
PL,male,46-60,11454.66,4571.09,7895
FR,male,18-30,9966.87,4926.37,6220
UK,male,46-60,11429.46,8203.57,3579
DE,female,46-60,4114.28,2344.34,2069
US,female,46-60,11553.15,2435.68,9217
UK,male,46-60,9227.76,2697.42,4295
US,female,60+,5462.82,6179.69,7077
FR,male,31-45,4856.91,5711.12,9668
PL,male,46-60,4361.14,5309.64,1443
DE,male,18-30,11020.2,8099.28,4634
FR,female,46-60,9732.6,7553.14,9654
UK,male,46-60,4242.03,8507.77,8883
PL,male,46-60,10931.22,2045.62,7766
UK,female,31-45,7554.34,5630.28,5515
FR,male,31-45,6090.69,8909.2,3164
DE,male,18-30,8972.28,3854.83,3053
PL,male,31-45,3502.07,5268.56,5618
UK,female,18-30,3730.3,3572.71,8863
PL,female,46-60,4649.7,7888.57,6513
FR,female,60+,9323.7,6712.34,5691
PL,male,60+,9277.94,4257.76,7973
FR,female,46-60,3949.4,4951.26,1092
FR,male,18-30,3977.45,3283.39,7597
PL,male,18-30,4815.83,4346.76,4759
