setting_key,setting_value,description,created_at
tax_rate,0.17,Standard income tax rate for Poland,2025-03-29T13:35:48.006275
vat_rate,0.23,Standard VAT rate for Poland,2025-03-29T13:35:48.006275
pension_contribution,0.10,Contribution rate for pension funds,2025-03-29T13:35:48.006275
investment_limit,50000,Max investment amount for retail investors,2025-03-29T13:35:48.006275
regulatory_fee,0.005,Fee imposed by regulatory authorities,2025-03-29T13:35:48.006275
tax_rate,0.17,Standard income tax rate for Poland,2025-03-29T13:35:48.006275
vat_rate,0.23,Standard VAT rate for Poland,2025-03-29T13:35:48.006275
pension_contribution,0.10,Contribution rate for pension funds,2025-03-29T13:35:48.006275
investment_limit,50000,Max investment amount for retail investors,2025-03-29T13:35:48.006275
regulatory_fee,0.005,Fee imposed by regulatory authorities,2025-03-29T13:35:48.006275
tax_rate,0.17,Standard income tax rate for Poland,2025-03-29T13:35:48.006275
vat_rate,0.23,Standard VAT rate for Poland,2025-03-29T13:35:48.006275
pension_contribution,0.10,Contribution rate for pension funds,2025-03-29T13:35:48.006275
investment_limit,50000,Max investment amount for retail investors,2025-03-29T13:35:48.006275
regulatory_fee,0.005,Fee imposed by regulatory authorities,2025-03-29T13:35:48.006275
tax_rate,0.17,Standard income tax rate for Poland,2025-03-29T13:35:48.006275
vat_rate,0.23,Standard VAT rate for Poland,2025-03-29T13:35:48.006275
pension_contribution,0.10,Contribution rate for pension funds,2025-03-29T13:35:48.006275
investment_limit,50000,Max investment amount for retail investors,2025-03-29T13:35:48.006275
regulatory_fee,0.005,Fee imposed by regulatory authorities,2025-03-29T13:35:48.006275
tax_rate,0.17,Standard income tax rate for Poland,2025-03-29T13:35:48.006275
vat_rate,0.23,Standard VAT rate for Poland,2025-03-29T13:35:48.006275
pension_contribution,0.10,Contribution rate for pension funds,2025-03-29T13:35:48.006275
investment_limit,50000,Max investment amount for retail investors,2025-03-29T13:35:48.006275
regulatory_fee,0.005,Fee imposed by regulatory authorities,2025-03-29T13:35:48.006275
tax_rate,0.17,Standard income tax rate for Poland,2025-03-29T13:35:48.006275
vat_rate,0.23,Standard VAT rate for Poland,2025-03-29T13:35:48.006275
pension_contribution,0.10,Contribution rate for pension funds,2025-03-29T13:35:48.006275
investment_limit,50000,Max investment amount for retail investors,2025-03-29T13:35:48.006275
regulatory_fee,0.005,Fee imposed by regulatory authorities,2025-03-29T13:35:48.006275
tax_rate,0.17,Standard income tax rate for Poland,2025-03-29T13:35:48.006275
vat_rate,0.23,Standard VAT rate for Poland,2025-03-29T13:35:48.006275
pension_contribution,0.10,Contribution rate for pension funds,2025-03-29T13:35:48.006275
investment_limit,50000,Max investment amount for retail investors,2025-03-29T13:35:48.006275
regulatory_fee,0.005,Fee imposed by regulatory authorities,2025-03-29T13:35:48.006275
tax_rate,0.17,Standard income tax rate for Poland,2025-03-29T13:35:48.006275
vat_rate,0.23,Standard VAT rate for Poland,2025-03-29T13:35:48.006275
pension_contribution,0.10,Contribution rate for pension funds,2025-03-29T13:35:48.006275
investment_limit,50000,Max investment amount for retail investors,2025-03-29T13:35:48.006275
regulatory_fee,0.005,Fee imposed by regulatory authorities,2025-03-29T13:35:48.006275
tax_rate,0.17,Standard income tax rate for Poland,2025-03-29T13:35:48.006275
vat_rate,0.23,Standard VAT rate for Poland,2025-03-29T13:35:48.006275
pension_contribution,0.10,Contribution rate for pension funds,2025-03-29T13:35:48.006275
investment_limit,50000,Max investment amount for retail investors,2025-03-29T13:35:48.006275
regulatory_fee,0.005,Fee imposed by regulatory authorities,2025-03-29T13:35:48.006275
tax_rate,0.17,Standard income tax rate for Poland,2025-03-29T13:35:48.006275
vat_rate,0.23,Standard VAT rate for Poland,2025-03-29T13:35:48.006275
pension_contribution,0.10,Contribution rate for pension funds,2025-03-29T13:35:48.006275
investment_limit,50000,Max investment amount for retail investors,2025-03-29T13:35:48.006275
regulatory_fee,0.005,Fee imposed by regulatory authorities,2025-03-29T13:35:48.006275
