instrument,category,current_price,last_updated
Currency Basket,index,204.1,2025-03-28T13:35:48.011485
Global Bonds,forex,91.31,2025-03-25T13:35:48.011495
Commodity Index,index,354.25,2025-03-27T13:35:48.011499
NASDAQ,forex,388.74,2025-03-29T13:35:48.011502
Currency Basket,index,495.01,2025-03-29T13:35:48.011505
Commodity Index,sector,140.07,2025-03-28T13:35:48.011507
Commodity Index,forex,372.49,2025-03-27T13:35:48.011510
DAX,forex,192.35,2025-03-29T13:35:48.011512
NASDAQ,forex,89.39,2025-03-27T13:35:48.011515
NIKKEI 225,index,336.8,2025-03-29T13:35:48.011517
Commodity Index,index,319.52,2025-03-25T13:35:48.011519
NASDAQ,index,148.61,2025-03-26T13:35:48.011522
Global Bonds,commodities,211.39,2025-03-26T13:35:48.011524
Commodity Index,sector,177.19,2025-03-27T13:35:48.011527
NIKKEI 225,index,490.7,2025-03-25T13:35:48.011529
S&P 500,index,363.28,2025-03-29T13:35:48.011531
S&P 500,index,56.43,2025-03-26T13:35:48.011533
Tech ETF,forex,334.59,2025-03-28T13:35:48.011536
Commodity Index,bonds,130.97,2025-03-29T13:35:48.011538
Global Bonds,index,166.74,2025-03-27T13:35:48.011540
S&P 500,sector,368.23,2025-03-28T13:35:48.011543
Commodity Index,index,272.39,2025-03-27T13:35:48.011545
NASDAQ,index,152.61,2025-03-26T13:35:48.011547
Global Bonds,forex,386.12,2025-03-29T13:35:48.011550
NASDAQ,index,166.91,2025-03-26T13:35:48.011552
Commodity Index,commodities,131.35,2025-03-28T13:35:48.011554
Tech ETF,forex,321.26,2025-03-28T13:35:48.011557
Global Bonds,sector,415.49,2025-03-27T13:35:48.011559
Global Bonds,commodities,458.67,2025-03-28T13:35:48.011561
Currency Basket,bonds,425.83,2025-03-25T13:35:48.011564
NASDAQ,index,311.82,2025-03-28T13:35:48.011566
Currency Basket,sector,127.34,2025-03-25T13:35:48.011568
NIKKEI 225,index,224.7,2025-03-29T13:35:48.011571
NASDAQ,index,233.47,2025-03-25T13:35:48.011573
NIKKEI 225,index,157.0,2025-03-25T13:35:48.011575
Global Bonds,index,219.85,2025-03-25T13:35:48.011577
NASDAQ,sector,243.69,2025-03-27T13:35:48.011580
NASDAQ,index,98.59,2025-03-25T13:35:48.011582
FTSE 100,index,243.22,2025-03-28T13:35:48.011584
NIKKEI 225,index,471.82,2025-03-29T13:35:48.011586
FTSE 100,index,282.85,2025-03-28T13:35:48.011589
Global Bonds,index,448.64,2025-03-27T13:35:48.011591
NIKKEI 225,bonds,483.09,2025-03-29T13:35:48.011593
Global Bonds,index,348.47,2025-03-25T13:35:48.011596
NIKKEI 225,index,366.48,2025-03-29T13:35:48.011598
NIKKEI 225,index,228.51,2025-03-26T13:35:48.011600
Currency Basket,commodities,300.17,2025-03-25T13:35:48.011602
DAX,bonds,492.16,2025-03-26T13:35:48.011605
Tech ETF,sector,144.86,2025-03-27T13:35:48.011607
Commodity Index,index,476.42,2025-03-26T13:35:48.011609
