user_id,goal_name,target_amount,current_amount,due_date,investment_name,investment_type,amount_invested,current_value,currency,start_date,maturity_date,status,broker,portfolio,account_id,loan_amount,interest_rate,duration_months,monthly_payment,status_loan,account_name,account_type,balance,currency_acc,status_acc,goal_gap
1,Wakacje,90499.22,23467.72,2025-05-08,Investment_1,ETF,38521.18,54217.02,EUR,2024-07-08,2028-12-31,Active,Broker_2,Portfolio_2,ACC_1,19648.91,7.47,39,503.82,Active,Account_1,Savings,5962.82,PLN,Inactive,67031.5
2,Nowy samochód,97397.01,59087.67,2025-06-15,Investment_2,ETF,41407.6,51041.75,EUR,2024-10-07,2028-11-24,Inactive,Broker_3,Portfolio_2,ACC_2,27282.67,5.93,49,556.79,Closed,Account_2,Savings,75412.66,USD,Active,38309.34
3,Kupno mieszkania,64627.24,38452.38,2025-10-06,Investment_3,Bond,9241.98,9376.36,USD,2024-05-16,2029-11-27,Active,Broker_4,Portfolio_2,ACC_3,23298.07,5.66,54,431.45,Closed,Account_3,Savings,86742.5,PLN,Inactive,26174.86
4,Kupno mieszkania,74284.62,51285.62,2026-02-22,Investment_4,Stock,46201.43,47758.17,PLN,2024-10-20,2027-06-29,Inactive,Broker_3,Portfolio_1,ACC_4,17048.77,5.79,26,655.72,Active,Account_4,Checking,95040.23,EUR,Inactive,22999.0
5,Wakacje,66284.55,25237.98,2025-08-30,Investment_5,Mutual Fund,21471.14,18907.23,PLN,2024-11-25,2028-02-22,Active,Broker_5,Portfolio_1,ACC_5,22742.75,9.86,47,483.89,Active,Account_5,Savings,8762.15,PLN,Inactive,41046.57
6,Kupno mieszkania,36934.16,10907.42,2026-01-23,Investment_6,ETF,6100.36,7815.59,USD,2024-12-17,2029-01-05,Inactive,Broker_5,Portfolio_2,ACC_6,14555.51,4.39,52,279.91,Closed,Account_6,Checking,70823.37,EUR,Active,26026.74
7,Nowy samochód,12834.0,5634.56,2026-01-13,Investment_7,Bond,40697.39,36178.63,EUR,2024-08-05,2029-08-11,Inactive,Broker_4,Portfolio_3,ACC_7,25985.75,4.39,19,1367.67,Active,Account_7,Checking,61426.02,USD,Active,7199.44
8,Emerytura,54508.17,34003.0,2026-02-01,Investment_8,ETF,42931.36,41237.93,USD,2024-09-27,2029-08-24,Active,Broker_3,Portfolio_2,ACC_8,23541.87,7.35,12,1961.82,Closed,Account_8,Checking,14787.99,EUR,Inactive,20505.17
9,Kupno mieszkania,56514.5,12311.89,2025-09-11,Investment_9,Stock,23052.78,29158.94,PLN,2024-08-21,2026-07-31,Inactive,Broker_1,Portfolio_1,ACC_9,15737.78,1.72,43,365.99,Closed,Account_9,Checking,69258.91,USD,Inactive,44202.61
10,Nowy samochód,12289.0,5037.9,2025-11-19,Investment_10,Bond,26051.89,27434.94,PLN,2024-12-03,2027-03-31,Inactive,Broker_5,Portfolio_3,ACC_10,3327.32,9.93,60,55.46,Closed,Account_10,Checking,39203.08,PLN,Inactive,7251.1
11,Wakacje,35278.27,12952.07,2025-10-09,Investment_11,Mutual Fund,14414.65,20368.59,EUR,2024-06-08,2026-04-25,Active,Broker_2,Portfolio_1,ACC_11,13134.73,5.58,17,772.63,Active,Account_11,Savings,13576.01,PLN,Inactive,22326.2
12,Emerytura,22149.65,13447.39,2025-09-28,Investment_12,Stock,12257.45,13958.31,PLN,2024-08-19,2026-08-08,Inactive,Broker_5,Portfolio_3,ACC_12,11903.58,4.86,40,297.59,Active,Account_12,Savings,72952.77,EUR,Inactive,8702.26
13,Emerytura,43999.35,12609.69,2025-05-17,Investment_13,Bond,11981.13,10317.4,EUR,2024-11-13,2029-03-16,Inactive,Broker_5,Portfolio_3,ACC_13,19140.29,2.49,29,660.01,Closed,Account_13,Checking,89367.53,PLN,Inactive,31389.66
14,Nowy samochód,37262.74,3997.74,2025-05-21,Investment_14,Stock,8643.44,7175.84,PLN,2025-01-27,2029-01-02,Active,Broker_4,Portfolio_1,ACC_14,16241.18,2.81,16,1015.07,Active,Account_14,Savings,45464.91,EUR,Inactive,33265.0
15,Wakacje,57065.5,7651.88,2026-01-25,Investment_15,Mutual Fund,47546.82,40513.04,EUR,2024-11-25,2029-04-24,Active,Broker_2,Portfolio_1,ACC_15,20668.74,7.43,36,574.13,Closed,Account_15,Savings,84422.23,PLN,Inactive,49413.62
16,Emerytura,10702.1,654.72,2025-10-21,Investment_16,ETF,33662.34,27242.21,PLN,2024-05-17,2026-09-03,Active,Broker_1,Portfolio_1,ACC_16,3532.64,8.21,36,98.13,Closed,Account_16,Savings,83869.8,EUR,Active,10047.38
17,Nowy samochód,15655.73,14889.46,2026-03-06,Investment_17,Mutual Fund,36283.07,33108.71,PLN,2024-04-16,2026-08-03,Inactive,Broker_2,Portfolio_3,ACC_17,17209.4,8.62,37,465.12,Active,Account_17,Savings,92372.39,EUR,Active,766.27
18,Nowy samochód,27359.76,6837.99,2025-07-29,Investment_18,Bond,13360.64,16966.1,USD,2024-06-19,2027-04-26,Active,Broker_3,Portfolio_3,ACC_18,17853.96,5.28,13,1373.38,Closed,Account_18,Checking,73522.48,PLN,Inactive,20521.77
